,optim_,prev,enhance_rate:%,len_d,attribute,len_Cx,len_C
238,0.3763157894736842,0.3230088495575221,117.0,0,"[1.0, 3.0, 5.0]",13,14
239,0.4136403897254207,0.357761492338441,115.99999999999999,0,"[0.0, 1.0, 14.0]",10,13
240,0.40830721003134796,0.3551587301587302,114.99999999999999,0,"[0.0, 3.0, 8.0]",10,11
241,0.40625,0.35610079575596815,113.99999999999999,0,"[0.0, 8.0, 19.0]",4,5
242,0.3236434108527132,0.28685897435897434,112.99999999999999,0,"[0.0, 1.0, 10.0]",9,11
243,0.45161290322580644,0.40350877192982454,112.00000000000001,1,"[0.0, 11.0, 19.0]",1,2
244,0.32635135135135135,0.29280261723009815,111.00000000000001,3,"[1.0, 2.0, 7.0]",11,13
245,0.22684310018903592,0.2059282371294852,110.00000000000001,4,"[1.0, 2.0, 9.0]",10,13
246,0.3949579831932773,0.3618598382749326,109.00000000000001,7,"[1.0, 2.0, 3.0]",34,36
247,0.12195121951219512,0.11320754716981132,108.0,4,"[1.0, 6.0, 9.0]",2,3
248,0.13127413127413126,0.12257405515832483,107.0,1,"[1.0, 2.0, 6.0]",1,2
249,0.30496659889631134,0.2887096774193548,106.0,1,"[0.0, 1.0, 2.0]",17,18
250,0.09655172413793103,0.09212121212121212,105.0,1,"[0.0, 1.0, 18.0]",1,2
251,0.4548139397519197,0.43642420877290394,104.0,5,"[0.0, 1.0, 5.0]",14,18
252,0.5844748858447488,0.5700636942675159,103.0,2,"[0.0, 7.0, 11.0]",3,4
253,0.6043478260869565,0.5902255639097744,102.0,3,"[0.0, 4.0, 21.0]",4,5
254,0.09417040358744394,0.09325153374233129,101.0,1,"[0.0, 1.0, 7.0]",1,2
255,0.38202247191011235,0.38016528925619836,100.0,0,"[0.0, 4.0, 7.0]",1,2
