,previous_sim,optim_sim,enhance_rate:%,len_d,attribute,len_Cx,len_C
29,0.7122641509433962,0.3847926267281106,185.0,0,"[3.0, 9.0, 10.0]",4,8
30,0.9116022099447514,0.49554896142433236,184.0,0,"[1.0, 4.0, 8.0]",4,6
31,0.7035398230088495,0.3847926267281106,183.0,0,"[1.0, 2.0, 5.0]",4,8
32,0.9116022099447514,0.5,182.0,0,"[1.0, 4.0, 5.0]",4,6
33,0.7526315789473684,0.4164588528678304,181.0,0,"[3.0, 7.0, 11.0]",3,7
34,0.7323232323232324,0.4073170731707317,180.0,0,"[3.0, 7.0, 10.0]",4,7
35,0.7175925925925926,0.4014423076923077,179.0,0,"[1.0, 5.0, 13.0]",3,7
36,0.7136363636363636,0.40047961630695444,178.0,0,"[1.0, 5.0, 9.0]",3,6
37,0.6802030456852792,0.3847926267281106,177.0,0,"[1.0, 8.0, 11.0]",3,8
38,0.7035398230088495,0.40047961630695444,176.0,0,"[2.0, 5.0, 9.0]",4,6
39,0.9116022099447514,0.5202492211838006,175.0,0,"[4.0, 10.0, 15.0]",4,6
40,0.6696035242290749,0.3847926267281106,174.0,0,"[1.0, 8.0, 13.0]",4,8
41,0.6666666666666666,0.3847926267281106,173.0,0,"[2.0, 8.0, 9.0]",5,8
42,0.663594470046083,0.3847926267281106,172.0,0,"[1.0, 9.0, 13.0]",3,8
43,0.7035398230088495,0.41133004926108374,171.0,1,"[1.0, 5.0, 6.0]",3,6
44,0.6585365853658537,0.38657407407407407,170.0,0,"[1.0, 15.0, 16.0]",4,7
45,0.6495327102803738,0.3847926267281106,169.0,0,"[1.0, 2.0, 8.0]",4,8
46,0.6495327102803738,0.38657407407407407,168.0,0,"[1.0, 8.0, 16.0]",4,6
